 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie

 Test Fixture Nails     296/296  Selected Drills           05-May-2018 11:05
                        296 Nails,  2417 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1       -8.4845    2.5237   3  AA   (B)  #93   USB2_TA_CONN_DP  T PIN MTP_BF45003.1
$2       -8.4333    2.5237   3  AA   (B)  #92   USB2_TA_CONN_DN  T PIN MTP_BF45002.1
$3       -8.5010    2.4577   2  AA   (B)  #62   5V_USBPWR_A      T PIN MTP_BF45005.1
$4       -8.4596    2.3986   2  AA   (B)  #62   5V_USBPWR_A      T PIN MTP_BF45004.1
$5       -8.3809    2.3957   1  AA   (B)  #2    GND              T PIN MTP_BF45001.1
$6       -7.9616    2.6083   3  AA   (B)  #1332 L_BKLT_CTRL_IN   T PIN MTP72009.1
$7       -7.9667    2.6673   2  AA   (B)  #904  BKLT_EN          T PIN MTP72003.1
$8       -7.9411    2.8996   1  AA   (B)  #3    VCC_EDP_BKLT_OUT T PIN MTP72001.1
$9       -7.6074    2.8529   1  AA   (B)  #854  TS_SCKL          T PIN MTP49003.1
$10      -7.3898    2.7884   1  AA   (B)  #1478 TS_SD8           T PIN MTP49006.1
$11      -6.9937    2.7584   1  AA   (B)  #2    GND              T PIN MTP49045.1
$12      -6.8866    2.8863   2  AA   (B)  #840  TS_TMS_1V8       T PIN MTP49022.1
$13      -6.8425    2.8435   3  AA   (B)  #842  TS_TDI_1V8       T PIN MTP49017.1
$14      -6.7843    2.8509   2  AA   (B)  #838  TS_TCK_1V8       T PIN MTP49016.1
$15      -6.6909    2.8041   2  AA   (B)  #512  TS_IRQ_1V8       T PIN MTP49048.1
$16      -6.6327    2.8056   3  AA   (B)  #1465 TS_SPI_CS_N      T PIN MTP49019.1
$17      -6.6555    2.8587   3  AA   (B)  #851  TS_TDO_1V8       T PIN MTP49023.1
$18      -6.5768    2.8740   3  AA   (B)  #1463 TS_FLASH_MOSI    T PIN MTP49051.1
$19      -6.5256    2.8740   3  AA   (B)  #1460 TS_FLASH_SCK     T PIN MTP49049.1
$20      -6.1642    2.9100   1  AA   (B)  #323  5V_TS            T PIN MTP49038.1
$21      -6.2173    2.7950   1  AA   (B)  #76   TS_HV_IN         T PIN MTP49035.1
$22      -6.2126    2.6454   1  AA   (B)  #1468 TS_SD0           T PIN MTP49004.1
$23      -6.3189    2.7069   2  AA   (B)  #2    GND              T PIN MTP49040.1
$24      -6.3642    2.6715   3  AA   (B)  #1212 TPANEL_RST_N     T PIN MTP49027.1
$25      -6.3890    2.7234   2  AA   (B)  #1466 TS_VDD_OK_H      T PIN MTP49047.1
$26      -6.6231    2.7430   2  AA   (B)  #849  TS_SPI_MISO      T PIN MTP49025.1
$27      -6.7409    2.6836   2  AA   (B)  #1480 TS_SPI_CLK       T PIN MTP49024.1
$28      -6.6701    2.6580   3  AA   (B)  #816  FLASH_PROTECT_N  T PIN MTP49008.1
$29      -6.6287    2.6068   2  AA   (B)  #1481 TS_SPI_MOSI      T PIN MTP49018.1
$30      -6.7109    2.4567   1  AA   (B)  #2    GND              T PIN MTP49015.1
$31      -6.4629    2.4921   1  AA   (B)  #2    GND              T PIN MTP49046.1
$32      -6.3689    2.3760   1  AA   (B)  #323  5V_TS            T PIN MTP49042.1
$33      -6.1893    2.4778   2  AA   (B)  #326  1P8V_TS          T PIN MTP62003.1
$34      -6.1538    2.4322   3  AA   (B)  #323  5V_TS            T PIN MTP64001.1
$35      -5.7937    2.5787   1  AA   (B)  #278  3P3V_PANEL       T PIN MTP65001.1
