 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie

 Parts List              2653/2653  Selected Parts             05-May-2018 11:05
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

PR6601       -3.4620    0.2484    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
PR6602       -3.4620    0.2268    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
PR6604       -3.4271    0.2032    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
PR6605       -3.7973    0.2311  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
PR6606       -3.7973    0.2530  180.0  AA   (T)  '0201_P28', '0201_P28'
PR6608       -3.7891    0.2782  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
PR6610       -3.7420    0.3567  180.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
PR6611       -3.4622    0.2728    0.0  AA   (T)  '0201S_P28-W35', '0201S_P28-W35'
R10001       -3.4812    1.2228    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10002       -3.6978    1.3411  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10003       -3.4812    1.2445    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10004       -3.4797    1.1836  180.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R10008       -3.6368    1.2411  180.0  AA   (B)  '0201_P3MM_B', '0201_P3MM_B'
R10011       -2.8287    2.5866  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10012       -2.7658    2.5532  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10013       -4.1020    1.6721  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10014       -4.1020    1.6937  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10015       -3.6358    1.2185    0.0  AA   (B)  '0201_P3MM_B', '0201_P3MM_B'
R10016       -3.5246    1.3396  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10017       -3.5463    1.3386  270.0  AA   (B)  '0201_P3MM_B', '0201_P3MM_B'
R10019       -3.6368    1.2845  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10022       -3.5364    1.2441    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10025       -3.4911    1.2845  180.0  AA   (B)  '0201_P3MM_B', '0201_P3MM_B'
R10026       -1.8199    1.6644   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R10027       -1.9173    1.5413  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R10028       -2.4713    1.6744  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10029       -3.5826    1.1066  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10032       -3.6880    1.2618  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10033       -1.8189    1.6221   90.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R10034       -1.8711    1.5413  180.0  AA   (T)  'RES_0201_12MIL', 'RES_0201_12MIL'
R10035       -3.4911    1.3061  180.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R10037       -1.8317    1.5659   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R10039       -1.9163    2.2805   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R11004       -2.8287    2.5640  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R11005       -2.8287    2.6092  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R11006       -2.7776    2.5807    0.0  AA   (B)  '0402_P4MM-S_B', '0402_P4MM-S_B'
R12003       -3.6811    1.3071    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R12004       -3.6368    1.3061  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R12005       -3.6279    1.3411  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R12006       -3.6496    1.3411  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R12007       -3.6713    1.3411  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R15001       -3.4813    1.3396  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R15002       -4.1020    1.6504  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
